,ucl_id,operator_intid,operator_altid,operator_name,lat,lon,initial_bikes,initial_size,curr_bikes,curr_size,created_dt,updated_dt,neighbors_1,neighbors_2
736,618,618,618,"Eel Brook Common, Walham Green",51.476259999999996,-0.193254,2,24,6,24,2014-02-19 18:15:01,2020-02-14 17:38:02,[],"[731, 769, 619, 691, 737]"
737,288,288,288,"Elizabeth Bridge, Victoria",51.49237,-0.147479,24,34,27,34,2010-08-06 01:00:00,2020-02-14 17:38:02,"[268, 167, 424]","[167, 424, 268, 161, 259]"
738,617,617,617,"Elysium Place, Fulham",51.471078999999996,-0.20784299999999997,3,21,16,21,2014-02-19 18:15:01,2020-02-14 17:38:02,"[774, 597]","[774, 597, 607, 765, 681]"
739,377,377,377,"Waterloo Bridge, South Bank",51.505354,-0.113657,1,15,1,15,2011-06-29 15:40:02,2020-02-14 17:38:02,"[252, 197, 334, 819, 273, 336, 154, 173, 374, 361]","[173, 273, 819, 336, 197]"
740,178,178,178,"Warwick Square, Pimlico",51.489856,-0.141924,12,19,4,19,2010-08-06 01:00:00,2020-02-14 17:38:02,"[185, 243, 161]","[243, 185, 161, 148, 268]"
741,309,309,309,"Embankment (Savoy), Strand",51.509631,-0.119048,39,42,35,41,2010-08-06 01:00:00,2020-02-14 17:38:02,"[335, 388, 564, 338]","[564, 388, 338, 335, 64]"
742,128,128,128,"Emperor's Gate, South Kensington",51.495362,-0.185297,9,22,4,22,2010-08-06 01:00:00,2020-02-14 17:38:02,"[405, 113]","[113, 405, 97, 296, 171]"
743,269,269,269,"Empire Square, The Borough",51.500823,-0.089741,18,46,9,46,2010-08-06 01:00:00,2020-02-14 17:38:02,[295],"[295, 125, 308, 61, 194]"
744,214,214,214,"Endsleigh Gardens, Euston",51.526838,-0.130504,8,32,25,32,2010-08-06 01:00:00,2020-02-14 17:38:02,"[19, 25, 69, 795]","[795, 19, 25, 69, 797]"
745,691,691,691,"Erin Close, Walham Green",51.479464,-0.195777,4,24,1,24,2014-02-19 18:15:01,2020-02-14 17:38:02,[737],"[737, 618, 782, 731, 639]"
