,timestamp,trip_count,temp,pressure,wind_speed,rain_1h,humidity,clouds_all,Clear,Clouds,Drizzle,Fog,Haze,Mist,Rain,Smoke,Snow,Thunderstorm,is_weekend,is_holiday,trip_log,is_non_workday,hour,is_rushhour,is_day
94,2018-08-11 00:00:00,558,284.23,1021,3,0.0,58,0,1,0,0,0,0,0,0,0,0,0,1,0,6.326149473155099,1,0,0,0
95,2018-08-12 00:00:00,540,289.7,1017,3,0.0,82,68,0,1,0,0,0,0,0,0,0,0,1,0,6.293419278846481,1,0,0,0
96,2018-09-01 00:00:00,521,286.01,1025,1,0.0,77,0,1,0,0,0,0,0,0,0,0,0,1,0,6.257667587882639,1,0,0,0
97,2018-09-02 00:00:00,565,286.47,1026,2,0.0,67,0,1,0,0,0,0,0,0,0,0,0,1,0,6.338594078203183,1,0,0,0
98,2018-09-03 00:00:00,209,286.94,1022,1,0.0,82,0,1,0,0,0,0,0,0,0,0,0,0,0,5.3471075307174685,0,0,0,0
99,2018-09-04 00:00:00,193,287.13,1020,2,0.0,77,0,1,0,0,0,0,0,0,0,0,0,0,0,5.267858159063328,0,0,0,0
100,2018-09-05 00:00:00,227,288.15,1022,3,0.3,77,75,0,0,0,0,0,0,1,0,0,0,0,0,5.429345628954441,0,0,0,0
101,2018-09-06 00:00:00,240,287.93,1019,2,0.0,82,36,0,1,0,0,0,0,0,0,0,0,0,0,5.484796933490655,0,0,0,0
102,2018-09-07 00:00:00,238,285.25,1014,5,0.3,71,75,0,0,0,0,0,0,1,0,0,0,0,0,5.476463551931511,0,0,0,0
103,2018-09-08 00:00:00,416,283.15,1018,2,0.0,76,0,1,0,0,0,0,0,0,0,0,0,1,0,6.0330862217988015,1,0,0,0
104,2018-09-09 00:00:00,455,288.03,1017,3,0.2612894862813686,77,44,0,0,1,0,0,0,0,0,0,0,1,0,6.1224928095143865,1,0,0,0
105,2018-09-10 00:00:00,226,288.27,1020,3,0.0,82,88,0,1,0,0,0,0,0,0,0,0,0,0,5.424950017481403,0,0,0,0
106,2018-09-11 00:00:00,185,289.15,1019,3,0.0,87,75,0,1,0,0,0,0,0,0,0,0,0,0,5.225746673713202,0,0,0,0
107,2018-09-12 00:00:00,105,289.26,1019,3,0.3,100,90,0,0,1,0,0,0,1,0,0,0,0,0,4.663439094112067,0,0,0,0
108,2018-10-01 00:00:00,150,282.25,1021,6,0.0,66,32,0,1,0,0,0,0,0,0,0,0,0,0,5.017279836814924,0,0,0,0
109,2018-10-02 00:00:00,129,283.69,1023,5,0.3,58,68,0,0,0,0,0,0,1,0,0,0,0,0,4.867534450455582,0,0,0,0
