dt,dt_iso,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1515052800,2018-01-04 08:00:00 +0000 UTC,2643743,,,,279.84,278.15,282.15,993,,,93,3,90,0.9,,,,,,,,90,701,Mist,mist,50n
1515056400,2018-01-04 09:00:00 +0000 UTC,2643743,,,,281.61,278.15,284.15,992,,,93,3,100,0.9,,,,,,,,90,310,Drizzle,light intensity drizzle rain,09d
1515056400,2018-01-04 09:00:00 +0000 UTC,2643743,,,,281.61,278.15,284.15,992,,,93,3,100,0.9,,,,,,,,90,501,Rain,moderate rain,10d
1515056400,2018-01-04 09:00:00 +0000 UTC,2643743,,,,281.61,278.15,284.15,992,,,93,3,100,0.9,,,,,,,,90,701,Mist,mist,50d
1515060000,2018-01-04 10:00:00 +0000 UTC,2643743,,,,283.16,279.15,285.15,992,,,93,2,250,0.3,,,,,,,,75,701,Mist,mist,50d
1515060000,2018-01-04 10:00:00 +0000 UTC,2643743,,,,283.16,279.15,285.15,992,,,93,2,250,0.3,,,,,,,,75,310,Drizzle,light intensity drizzle rain,09d
1515060000,2018-01-04 10:00:00 +0000 UTC,2643743,,,,283.16,279.15,285.15,992,,,93,2,250,0.3,,,,,,,,75,500,Rain,light rain,10d
1515063600,2018-01-04 11:00:00 +0000 UTC,2643743,,,,284.75,282.15,286.15,991,,,87,4,240,,,,,,,,,75,803,Clouds,broken clouds,04d
1515067200,2018-01-04 12:00:00 +0000 UTC,2643743,,,,285.15,284.15,286.15,990,,,71,7,250,,,,,,,,,75,803,Clouds,broken clouds,04d
1515070800,2018-01-04 13:00:00 +0000 UTC,2643743,,,,285.24,284.15,286.15,989,,,66,9,250,0.9,,,,,,,,75,521,Rain,proximity shower rain,09d
1515074400,2018-01-04 14:00:00 +0000 UTC,2643743,,,,283.96,282.15,286.15,989,,,58,13,250,,,,,,,,,75,803,Clouds,broken clouds,04d
1515078000,2018-01-04 15:00:00 +0000 UTC,2643743,,,,282.75,281.15,284.15,990,,,62,12,250,,,,,,,,,75,803,Clouds,broken clouds,04d
1515081600,2018-01-04 16:00:00 +0000 UTC,2643743,,,,281.97,281.15,283.15,991,,,61,13,260,,,,,,,,,75,803,Clouds,broken clouds,04d
1515085200,2018-01-04 17:00:00 +0000 UTC,2643743,,,,281.15,280.15,282.15,993,,,61,11,270,,,,,,,,,20,801,Clouds,few clouds,02n
1515088800,2018-01-04 18:00:00 +0000 UTC,2643743,,,,280.69,279.15,282.15,994,,,61,10,260,,,,,,,,,0,800,Clear,Sky is Clear,01n
1515092400,2018-01-04 19:00:00 +0000 UTC,2643743,,,,280.15,279.15,281.15,995,,,65,8,250,,,,,,,,,0,800,Clear,Sky is Clear,01n
1515096000,2018-01-04 20:00:00 +0000 UTC,2643743,,,,280.06,279.15,281.15,995,,,70,8,240,0.3,,,,,,,,92,500,Rain,light rain,10n
1515099600,2018-01-04 21:00:00 +0000 UTC,2643743,,,,280.25,279.15,281.15,995,,,70,7,240,0.3,,,,,,,,92,500,Rain,light rain,10n
1515103200,2018-01-04 22:00:00 +0000 UTC,2643743,,,,279.65,278.15,281.15,995,,,75,6,240,0.9,,,,,,,,92,501,Rain,moderate rain,10n
1515106800,2018-01-04 23:00:00 +0000 UTC,2643743,,,,279.7,279.15,280.15,994,,,81,5,240,0.9,,,,,,,,92,521,Rain,shower rain,09n
1515110400,2018-01-05 00:00:00 +0000 UTC,2643743,,,,278.85,277.15,280.15,993,,,81,3,230,0.3,,,,,,,,92,520,Rain,light intensity shower rain,09n
1515114000,2018-01-05 01:00:00 +0000 UTC,2643743,,,,278.59,277.15,280.15,993,,,87,1,0,0.3,,,,,,,,75,520,Rain,light intensity shower rain,09n
1515117600,2018-01-05 02:00:00 +0000 UTC,2643743,,,,278.92,278.15,280.15,993,,,87,3,240,,,,,,,,,75,803,Clouds,broken clouds,04n
